month,revenue,cogs,gross_profit,sales_marketing,rd_expense,general_admin,total_opex,operating_income,interest_expense,tax_expense,net_income,cash_from_operations,capex,cash_from_investing,debt_payment,equity_raised,cash_from_financing,total_cash_flow,cash_balance,accounts_receivable,inventory,current_assets,current_liabilities,total_assets,total_liabilities,shareholders_equity
2024-01,12500000000,4200000000,8300000000,2800000000,1500000000,950000000,5250000000,3050000000,180000000,572000000,2298000000,2850000000,-450000000,-450000000,-300000000,0,-300000000,2100000000,18500000000,2800000000,1500000000,22800000000,8200000000,35000000000,12000000000,23000000000
2024-02,13200000000,4450000000,8750000000,2900000000,1550000000,980000000,5430000000,3320000000,175000000,628600000,2516400000,3100000000,-520000000,-520000000,-300000000,0,-300000000,2280000000,20780000000,2950000000,1580000000,24310000000,8500000000,35800000000,12200000000,23600000000
2024-03,14800000000,5000000000,9800000000,3100000000,1600000000,1020000000,5720000000,4080000000,170000000,782000000,3128000000,3650000000,-580000000,-580000000,-300000000,0,-300000000,2770000000,23550000000,3200000000,1650000000,26400000000,8800000000,37200000000,12400000000,24800000000
2024-04,13900000000,4700000000,9200000000,2950000000,1580000000,990000000,5520000000,3680000000,165000000,703000000,2812000000,3350000000,-620000000,-620000000,-300000000,0,-300000000,2430000000,25980000000,3100000000,1600000000,28680000000,9000000000,38500000000,12600000000,25900000000
2024-05,15500000000,5250000000,10250000000,3250000000,1650000000,1050000000,5950000000,4300000000,160000000,828000000,3312000000,3880000000,-680000000,-680000000,-300000000,0,-300000000,2900000000,28880000000,3350000000,1680000000,31910000000,9200000000,40200000000,12800000000,27400000000
2024-06,14200000000,4800000000,9400000000,3000000000,1600000000,1010000000,5610000000,3790000000,155000000,727000000,2908000000,3450000000,-720000000,-720000000,-300000000,0,-300000000,2430000000,31310000000,3250000000,1620000000,34180000000,9400000000,41800000000,13000000000,28800000000
2024-07,16200000000,5500000000,10700000000,3350000000,1700000000,1080000000,6130000000,4570000000,150000000,884000000,3536000000,4150000000,-780000000,-780000000,-300000000,0,-300000000,3070000000,34380000000,3500000000,1750000000,37630000000,9600000000,43600000000,13200000000,30400000000
2024-08,15800000000,5350000000,10450000000,3280000000,1680000000,1060000000,6020000000,4430000000,145000000,857000000,3428000000,4050000000,-820000000,-820000000,-300000000,0,-300000000,2930000000,37310000000,3450000000,1700000000,40460000000,9800000000,45400000000,13400000000,32000000000
2024-09,17500000000,5950000000,11550000000,3550000000,1750000000,1120000000,6420000000,5130000000,140000000,998000000,3992000000,4580000000,-880000000,-880000000,-300000000,0,-300000000,3400000000,40710000000,3700000000,1850000000,44260000000,10000000000,47800000000,13600000000,34200000000
2024-10,16800000000,5700000000,11100000000,3420000000,1720000000,1090000000,6230000000,4870000000,135000000,947000000,3788000000,4420000000,-920000000,-920000000,-300000000,0,-300000000,3200000000,43910000000,3650000000,1800000000,47360000000,10200000000,49600000000,13800000000,35800000000
2024-11,18200000000,6200000000,12000000000,3680000000,1800000000,1140000000,6620000000,5380000000,130000000,1050000000,4200000000,4850000000,-980000000,-980000000,-300000000,0,-300000000,3570000000,47480000000,3850000000,1920000000,51250000000,10400000000,52200000000,14000000000,38200000000
2024-12,19500000000,6650000000,12850000000,3900000000,1850000000,1180000000,6930000000,5920000000,125000000,1159000000,4636000000,5320000000,-1050000000,-1050000000,-300000000,5000000000,4700000000,8970000000,56450000000,4100000000,2050000000,60600000000,10600000000,56000000000,14200000000,41800000000
