month,department,revenue,cogs,gross_profit,opex_sales,opex_marketing,opex_rnd,opex_ga,headcount,arr,mrr,churn_rate,cac,ltv,burn_rate
2024-01,Engineering,1850000,425000,1425000,280000,320000,550000,180000,52,22500000,1875000,2.1,8500,45000,85000
2024-01,Sales,1850000,425000,1425000,280000,320000,550000,180000,35,22500000,1875000,2.1,8500,45000,85000
2024-01,Marketing,1850000,425000,1425000,280000,320000,550000,180000,28,22500000,1875000,2.1,8500,45000,85000
2024-01,Customer Success,1850000,425000,1425000,280000,320000,550000,180000,18,22500000,1875000,2.1,8500,45000,85000
2024-01,Finance,1850000,425000,1425000,280000,320000,550000,180000,8,22500000,1875000,2.1,8500,45000,85000
2024-01,HR,1850000,425000,1425000,280000,320000,550000,180000,6,22500000,1875000,2.1,8500,45000,85000
2024-01,Operations,1850000,425000,1425000,280000,320000,550000,180000,12,22500000,1875000,2.1,8500,45000,85000
2024-02,Engineering,1920000,438000,1482000,295000,340000,570000,185000,54,23100000,1925000,1.9,8200,46000,82000
2024-02,Sales,1920000,438000,1482000,295000,340000,570000,185000,36,23100000,1925000,1.9,8200,46000,82000
2024-02,Marketing,1920000,438000,1482000,295000,340000,570000,185000,29,23100000,1925000,1.9,8200,46000,82000
2024-02,Customer Success,1920000,438000,1482000,295000,340000,570000,185000,19,23100000,1925000,1.9,8200,46000,82000
2024-02,Finance,1920000,438000,1482000,295000,340000,570000,185000,8,23100000,1925000,1.9,8200,46000,82000
2024-02,HR,1920000,438000,1482000,295000,340000,570000,185000,6,23100000,1925000,1.9,8200,46000,82000
2024-02,Operations,1920000,438000,1482000,295000,340000,570000,185000,13,23100000,1925000,1.9,8200,46000,82000
2024-03,Engineering,2015000,455000,1560000,310000,365000,595000,190000,56,24200000,2016667,1.7,7900,47500,78000
2024-03,Sales,2015000,455000,1560000,310000,365000,595000,190000,38,24200000,2016667,1.7,7900,47500,78000
2024-03,Marketing,2015000,455000,1560000,310000,365000,595000,190000,31,24200000,2016667,1.7,7900,47500,78000
2024-03,Customer Success,2015000,455000,1560000,310000,365000,595000,190000,20,24200000,2016667,1.7,7900,47500,78000
2024-03,Finance,2015000,455000,1560000,310000,365000,595000,190000,9,24200000,2016667,1.7,7900,47500,78000
2024-03,HR,2015000,455000,1560000,310000,365000,595000,190000,7,24200000,2016667,1.7,7900,47500,78000
2024-03,Operations,2015000,455000,1560000,310000,365000,595000,190000,14,24200000,2016667,1.7,7900,47500,78000
2024-04,Engineering,2085000,468000,1617000,325000,385000,615000,195000,58,25100000,2091667,1.8,8100,48000,75000
2024-04,Sales,2085000,468000,1617000,325000,385000,615000,195000,39,25100000,2091667,1.8,8100,48000,75000
2024-04,Marketing,2085000,468000,1617000,325000,385000,615000,195000,32,25100000,2091667,1.8,8100,48000,75000
2024-04,Customer Success,2085000,468000,1617000,325000,385000,615000,195000,21,25100000,2091667,1.8,8100,48000,75000
2024-04,Finance,2085000,468000,1617000,325000,385000,615000,195000,9,25100000,2091667,1.8,8100,48000,75000
2024-04,HR,2085000,468000,1617000,325000,385000,615000,195000,7,25100000,2091667,1.8,8100,48000,75000
2024-04,Operations,2085000,468000,1617000,325000,385000,615000,195000,15,25100000,2091667,1.8,8100,48000,75000
2024-05,Engineering,2145000,482000,1663000,340000,405000,635000,200000,60,26300000,2191667,1.6,7800,49000,72000
2024-05,Sales,2145000,482000,1663000,340000,405000,635000,200000,41,26300000,2191667,1.6,7800,49000,72000
2024-05,Marketing,2145000,482000,1663000,340000,405000,635000,200000,34,26300000,2191667,1.6,7800,49000,72000
2024-05,Customer Success,2145000,482000,1663000,340000,405000,635000,200000,22,26300000,2191667,1.6,7800,49000,72000
2024-05,Finance,2145000,482000,1663000,340000,405000,635000,200000,10,26300000,2191667,1.6,7800,49000,72000
2024-05,HR,2145000,482000,1663000,340000,405000,635000,200000,7,26300000,2191667,1.6,7800,49000,72000
2024-05,Operations,2145000,482000,1663000,340000,405000,635000,200000,16,26300000,2191667,1.6,7800,49000,72000
2024-06,Engineering,2220000,498000,1722000,358000,428000,658000,205000,62,27800000,2316667,1.5,7600,50500,68000
2024-06,Sales,2220000,498000,1722000,358000,428000,658000,205000,43,27800000,2316667,1.5,7600,50500,68000
2024-06,Marketing,2220000,498000,1722000,358000,428000,658000,205000,36,27800000,2316667,1.5,7600,50500,68000
2024-06,Customer Success,2220000,498000,1722000,358000,428000,658000,205000,23,27800000,2316667,1.5,7600,50500,68000
2024-06,Finance,2220000,498000,1722000,358000,428000,658000,205000,10,27800000,2316667,1.5,7600,50500,68000
2024-06,HR,2220000,498000,1722000,358000,428000,658000,205000,8,27800000,2316667,1.5,7600,50500,68000
2024-06,Operations,2220000,498000,1722000,358000,428000,658000,205000,17,27800000,2316667,1.5,7600,50500,68000
