date,campaign_name,channel,impressions,clicks,ctr,cpc,spend,conversions,conversion_rate,cpa,revenue,roas,engagement_rate,video_views,reach,frequency
2024-09-01,Brand Awareness Q3,Facebook,125000,3250,2.60,12500,40625000,85,2.62,478000,18700000,0.46,4.2,15200,98000,1.28
2024-09-01,Product Launch - Fall Collection,Instagram,98000,2940,3.00,15200,44688000,92,3.13,486000,20240000,0.45,5.8,22400,82000,1.20
2024-09-01,Search - High Intent Keywords,Google Search,85000,4250,5.00,22500,95625000,182,4.28,525000,45500000,0.48,0,0,0,0
2024-09-01,Retargeting - Abandoned Cart,Display,42000,1260,3.00,8500,10710000,68,5.40,157500,13600000,1.27,2.1,0,35000,1.20
2024-09-01,Email - Weekly Newsletter,Email,15000,1950,13.00,1500,2925000,95,4.87,30800,19950000,6.82,18.5,0,15000,1.00
2024-09-02,Brand Awareness Q3,Facebook,132000,3432,2.60,12400,42556800,89,2.59,478000,19580000,0.46,4.3,16100,103000,1.28
2024-09-02,Product Launch - Fall Collection,Instagram,103000,3090,3.00,15100,46659000,96,3.11,486000,21120000,0.45,5.9,23600,86000,1.20
2024-09-02,Search - High Intent Keywords,Google Search,89000,4450,5.00,22400,99680000,191,4.29,522000,47750000,0.48,0,0,0,0
2024-09-02,Retargeting - Abandoned Cart,Display,44000,1320,3.00,8400,11088000,71,5.38,156000,14200000,1.28,2.2,0,37000,1.19
2024-09-02,Email - Weekly Newsletter,Email,15500,2015,13.00,1480,2982200,98,4.86,30400,20580000,6.90,18.6,0,15500,1.00
2024-09-03,Brand Awareness Q3,Facebook,128000,3328,2.60,12600,41932800,87,2.61,482000,19140000,0.46,4.2,15800,101000,1.27
2024-09-03,Product Launch - Fall Collection,Instagram,101000,3030,3.00,15300,46359000,94,3.10,493000,20680000,0.45,5.8,23200,84000,1.20
2024-09-03,Search - High Intent Keywords,Google Search,87000,4350,5.00,22600,98310000,186,4.28,529000,46500000,0.47,0,0,0,0
2024-09-03,Retargeting - Abandoned Cart,Display,43000,1290,3.00,8600,11094000,70,5.43,158500,14000000,1.26,2.1,0,36000,1.19
2024-09-03,Email - Weekly Newsletter,Email,15200,1976,13.00,1520,3003520,96,4.86,31300,20160000,6.71,18.4,0,15200,1.00
2024-09-04,Brand Awareness Q3,Facebook,135000,3510,2.60,12300,43173000,91,2.59,474000,20020000,0.46,4.4,16500,105000,1.29
2024-09-04,Product Launch - Fall Collection,Instagram,105000,3150,3.00,15000,47250000,98,3.11,482000,21560000,0.46,6.0,24000,87000,1.21
